trial,best_rmse,best_iteration,train_time_sec,max_depth,eta,subsample,colsample_bytree,min_child_weight,lambda,alpha
1,3.0683518531863405,599,2.687,8,0.03,0.8,0.7,1,5.0,0.0
2,3.0429427974491,441,2.839,10,0.03,0.9,0.7,1,1.0,0.1
3,3.0446238958248553,597,1.784,6,0.03,0.7,0.8,1,5.0,1.0
4,3.273875734604537,233,0.85,6,0.05,0.7,0.9,3,1.0,0.1
5,3.233569875959495,596,2.317,8,0.05,0.9,0.8,3,1.0,1.0
6,3.3314766663551265,289,1.787,10,0.05,0.9,0.7,3,10.0,0.0
7,3.3006556734804335,181,0.684,6,0.08,0.7,0.9,5,5.0,1.0
8,3.348372412592751,125,0.903,10,0.05,0.8,0.8,5,1.0,1.0
9,3.027963367105238,439,1.447,6,0.08,0.8,0.9,1,10.0,0.1
10,3.275272667726107,561,3.12,10,0.08,0.9,0.8,3,1.0,0.0
11,3.0655591039274324,585,2.347,8,0.08,0.9,0.7,1,10.0,0.1
12,3.3391642272141366,180,1.177,10,0.05,0.8,0.9,5,10.0,0.0
